Date,Time,Type,Name,Category,Amount,,Currency,Local amount,Local currency,Notes and #tags,Description,Money Out,Money In
27-02-2024,17:09:03,Card payment,Maqbools Superma,Groceries,-9.72,,GBP,-9.72,GBP,,MAQBOOLS SUPERMA       EDINBURGH     GBR,-9.72,
27-02-2024,18:16:55,Card payment,Sainsbury’s,Groceries,-4.3,,GBP,-4.3,GBP,,SAINSBURYS EDINBURGH-N EDINBURGH     GBR,-4.3,
28-02-2024,02:42:30,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
28-02-2024,06:12:17,Card payment,Sainsbury’s,Groceries,6.5,,GBP,6.5,GBP,,SAINSBURYS EDINBURGH-N EDINBURGH     GBR,,6.5
28-02-2024,10:19:17,Card payment,Sainsbury’s,Groceries,-6.5,,GBP,-6.5,GBP,"Delayed charge from Tuesday, 20 Feb",SAINSBURYS S/MKTS\52 NICOLSON STREET\EDINBURGH-NIC\EH8 9DT      GBR,-6.5,
29-02-2024,03:15:23,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
01-03-2024,05:15:20,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
01-03-2024,11:26:13,Faster payment,F Qazi,Transfers,275,,GBP,275,GBP,SAVE,SAVE,,275
01-03-2024,12:15:59,Card payment,Lothian Buses,General,-4.8,,GBP,-4.8,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4.8,
01-03-2024,14:06:08,Card payment,Edinburgh Mosque Kitch,Eating out,-13.5,,GBP,-13.5,GBP,,Edinburgh Mosque Kitch Edinburgh     GBR,-13.5,
01-03-2024,14:10:16,Card payment,Lidl,Groceries,-4.33,,GBP,-4.33,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-4.33,
01-03-2024,14:11:24,Card payment,Lothian Buses,General,-2,,GBP,-2,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-2,
01-03-2024,19:52:58,Card payment,Maqbools Superma,Groceries,-4.55,,GBP,-4.55,GBP,,MAQBOOLS SUPERMA       EDINBURGH     GBR,-4.55,
01-03-2024,19:54:38,Card payment,Sumup The Mosque Of,General,-10.17,,GBP,-10.17,GBP,,SumUp  *The Mosque of  Edinburgh     GBR,-10.17,
01-03-2024,21:32:51,Card payment,Lidl,Groceries,-3.97,,GBP,-3.97,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-3.97,
02-03-2024,02:32:10,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
03-03-2024,02:28:28,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
03-03-2024,14:28:17,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
03-03-2024,21:22:14,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
04-03-2024,02:29:39,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
04-03-2024,19:55:49,Card payment,Lothian Buses,General,-4.3,,GBP,-4.3,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4.3,
05-03-2024,02:36:40,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
06-03-2024,02:20:34,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
07-03-2024,02:23:43,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
08-03-2024,02:40:01,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
08-03-2024,12:26:18,Card payment,Lothian Buses,General,-2,,GBP,-2,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-2,
08-03-2024,14:49:18,Card payment,Lothian Buses,General,-2,,GBP,-2,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-2,
09-03-2024,02:20:28,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
09-03-2024,02:38:20,Faster payment,F Qazi,Transfers,300,,GBP,300,GBP,SAVE,SAVE,,300
09-03-2024,20:17:14,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
09-03-2024,21:10:34,Card payment,Abdul Halal Market,Groceries,-37.56,,GBP,-37.56,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-37.56,
09-03-2024,21:18:09,Card payment,Lidl,Groceries,-5.41,,GBP,-5.41,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-5.41,
10-03-2024,02:43:48,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
10-03-2024,20:00:44,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
10-03-2024,22:51:29,Card payment,Sumup The Mosque Of,General,-10.17,,GBP,-10.17,GBP,,SumUp  *The Mosque of  Edinburgh     GBR,-10.17,
10-03-2024,22:58:25,Card payment,Rahman S Supermarket,Groceries,-6.56,,GBP,-6.56,GBP,,RAHMAN S SUPERMARKET   EDINBURGH     GBR,-6.56,
11-03-2024,02:23:36,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
11-03-2024,17:11:25,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
11-03-2024,18:39:14,Card payment,Abdul Halal Market,Groceries,-5.99,,GBP,-5.99,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-5.99,
11-03-2024,18:45:03,Card payment,Lidl,Groceries,-4.47,,GBP,-4.47,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-4.47,
11-03-2024,18:50:10,Card payment,Bburger No.2,Eating out,-8.35,,GBP,-8.35,GBP,,SQ *BBURGER NO.2       Edinburgh     GBR,-8.35,
12-03-2024,02:34:11,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
12-03-2024,19:37:08,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
13-03-2024,02:19:11,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
13-03-2024,19:47:09,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
13-03-2024,22:56:39,Card payment,Sainsbury’s,Groceries,-3.15,,GBP,-3.15,GBP,,SAINSBURYS EDINBURGH-N EDINBURGH     GBR,-3.15,
13-03-2024,23:00:53,Card payment,Rahman S Supermarket,Groceries,-6.66,,GBP,-6.66,GBP,,RAHMAN S SUPERMARKET   EDINBURGH     GBR,-6.66,
14-03-2024,02:21:36,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
14-03-2024,19:47:08,Card payment,Lothian Buses,General,-4,,GBP,-4,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4,
15-03-2024,02:44:36,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
15-03-2024,12:05:14,Card payment,Lothian Buses,General,-4.8,,GBP,-4.8,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-4.8,
15-03-2024,23:13:47,Card payment,Abdul Halal Market,Groceries,-4.79,,GBP,-4.79,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-4.79,
